"Price","Title","Location","Link"
"$400","iPhone 15 Plus 128g Black - like new , No cracks, reset and in box","Austin, TX","https://www.facebook.com/marketplace/item/762561306709194/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","iPhone 16e","Universal City, TX","https://www.facebook.com/marketplace/item/857377266622756/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","iPhone 15","Austin, TX","https://www.facebook.com/marketplace/item/24756324100687201/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","iPhone 16 plus","Converse, TX","https://www.facebook.com/marketplace/item/2200720100406440/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$499","Apple iPhone 15 Unlocked","Austin, TX","https://www.facebook.com/marketplace/item/1211897663733959/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$300","iPhone 15 plus(locked to AT&T)","Pflugerville, TX","https://www.facebook.com/marketplace/item/1121231276042905/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$650","iPhone 16 128gb","Austin, TX","https://www.facebook.com/marketplace/item/1819653311963665/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","Iphone 13 pro max","Kyle, TX","https://www.facebook.com/marketplace/item/1196763458988421/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$1,000","iPhone16 pro max 256 GB","San Antonio, TX","https://www.facebook.com/marketplace/item/827585279768056/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$450","Macbook Pro 16-inch (16gb RAM, 1TB storage)","Austin, TX","https://www.facebook.com/marketplace/item/1499837854563186/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","iPhone 16 pro","Ships to you","https://www.facebook.com/marketplace/item/796527303282013/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","💙💙IPhone 13 Pro Max (256gb) White UNLOCKED, Excellent condition","Round Rock, TX","https://www.facebook.com/marketplace/item/1204187798249298/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$260","Iphone 16e","Austin, TX","https://www.facebook.com/marketplace/item/1504669224287893/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$799","Unlocked iPhone 16 Pro Max 256 GB Desert Titanium Mint Condition","Austin, TX","https://www.facebook.com/marketplace/item/1978586859379208/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$800","Iphone 15 pro max","San Marcos, TX","https://www.facebook.com/marketplace/item/1710396066287654/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$680","iPhone 15 Pro Max 256 GB unlocked","Round Rock, TX","https://www.facebook.com/marketplace/item/711536381964421/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$650","iPhone 14 Pro Max 1TB UNLOCKED","San Antonio, TX","https://www.facebook.com/marketplace/item/797206826494915/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$1,100","iPhone 16 Pro Max 512GB white w/ Apple care","Leander, TX","https://www.facebook.com/marketplace/item/1132025335767095/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$800","I-PHONE 15 PRO MAX (UNLOCKED) - 256 GB","New Braunfels, TX","https://www.facebook.com/marketplace/item/848866814154854/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$795","iPhone 15 Pro Max","Leander, TX","https://www.facebook.com/marketplace/item/786115804236398/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$825","iphone 16 Pro Max 256gb unlocked *YES ITS AVAILABLE”","Round Rock, TX","https://www.facebook.com/marketplace/item/1273671791222929/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$650","iPhone 16 Pro max","Austin, TX","https://www.facebook.com/marketplace/item/792790066823169/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$690","Apple iPhone 15 Pro Max Unlocked 256GB","Pflugerville, TX","https://www.facebook.com/marketplace/item/1809496739659559/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$350","iPhone 15 128GB","Austin, TX","https://www.facebook.com/marketplace/item/985382567010448/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$450","iPhone 13 Pro Max","Round Rock, TX","https://www.facebook.com/marketplace/item/23875907525415183/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$499","Apple iPhone 15 Plus 128GB Unlocked Pink Color","Austin, TX","https://www.facebook.com/marketplace/item/2311138986069805/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$350","iPhone 13 Pro","Austin, TX","https://www.facebook.com/marketplace/item/2290227014828608/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$850","[NEW] unlocked iPhone 16 pro 128G w SIM slot white","Austin, TX","https://www.facebook.com/marketplace/item/4203851293276326/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$750","iPhone 15 Pro 1TB","Buda, TX","https://www.facebook.com/marketplace/item/1394252658784222/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$250","iPhone 13 & 11","Driftwood, TX","https://www.facebook.com/marketplace/item/707810865409285/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$690","iPhone 15 pro Max AT&T cricket","Austin, TX","https://www.facebook.com/marketplace/item/792466457016097/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$550","iPhone 14 pro max","San Antonio, TX","https://www.facebook.com/marketplace/item/1748943512447260/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","iPhone 16","Austin, TX","https://www.facebook.com/marketplace/item/1270189901150147/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$1,000","Ala venta iPhone 16 pro Max desbloqueado","Austin, TX","https://www.facebook.com/marketplace/item/1437155694064879/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$450","iPhone 13 Pro Max","Austin, TX","https://www.facebook.com/marketplace/item/4204539666453440/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$600","Apple iPhone 16e - Like New, Only 3 Months Old","Round Rock, TX","https://www.facebook.com/marketplace/item/1077976877576778/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$400","iPhone 13 Pro Max","Austin, TX","https://www.facebook.com/marketplace/item/1545841993097480/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$350","Apple iPhone 16 Plus Blocked by AT&T","Austin, TX","https://www.facebook.com/marketplace/item/2269152940214047/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
"$850","Mac Book Pro ( 14 Inch, 2023)","Austin, TX","https://www.facebook.com/marketplace/item/678391598286756/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3Ac286ed51-73f6-4a93-a857-4ec46a1fc195&__tn__=!%3AD"
